Cdid;Cdname;Caption;Mcaption;Cdgrp;Cdidx;Cdval;Ftag;Visible;App
B1;BATCHSTEP;BATCH STEP 1;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""BATCH STEP 1"",""km"":""""}";CRD;3;;;0;ncbsCbs
B2;BATCHSTEP;BATCH STEP 2;"{""en"":""BATCH STEP 2"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;1;;;1;ncbsCbs
B3;BATCHSTEP;BATCH STEP 3;"{""en"":""BATCH STEP 3"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;2;;;1;ncbsCbs
8X4;SUBSECTOR;Auto Repair Services;"{""en"":""Auto Repair Services"",""vi"":""Auto Repair Services"",""lo"":"""",""km"":""Auto Repair Services"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
8X6;SUBSECTOR;Educational Services;"{""en"":""Educational Services"",""vi"":""Educational Services"",""lo"":"""",""km"":""Educational Services"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
8X7;SUBSECTOR;Other Services;"{""en"":""Other Services"",""vi"":""Other Services"",""lo"":"""",""km"":""Other Services"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
8X8;SUBSECTOR;Information Media and Telecommunications;"{""en"":""Information Media and Telecommunications"",""vi"":""Information Media and Telecommunications"",""lo"":"""",""km"":""Information Media and Telecommunications"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
8X9;SUBSECTOR;Rental and Operational Leasing Activities;"{""en"":""Rental and Operational Leasing Activities"",""vi"":""Rental and Operational Leasing Activities"",""lo"":"""",""km"":""Rental and Operational Leasing Activities"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
9X1;SUBSECTOR;Land Transportation;"{""en"":""Land Transportation"",""vi"":""Land Transportation"",""lo"":"""",""km"":""Land Transportation"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
9X2;SUBSECTOR;Water Transportation;"{""en"":""Water Transportation"",""vi"":""Water Transportation"",""lo"":"""",""km"":""Water Transportation"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
9X3;SUBSECTOR;Air Transportation;"{""en"":""Air Transportation"",""vi"":""Air Transportation"",""lo"":"""",""km"":""Air Transportation"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
9X4;SUBSECTOR;Postal Services;"{""en"":""Postal Services"",""vi"":""Postal Services"",""lo"":"""",""km"":""Postal Services"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
9X5;SUBSECTOR;Communications Services;"{""en"":""Communications Services"",""vi"":""Communications Services"",""lo"":"""",""km"":""Communications Services"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
9X6;SUBSECTOR;Electricity;"{""en"":""Electricity"",""vi"":""Electricity"",""lo"":"""",""km"":""Electricity"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
9X7;SUBSECTOR;Waste Collection, Treatment and Disposal;"{""en"":""Waste Collection, Treatment and Disposal"",""vi"":""Waste Collection, Treatment and Disposal"",""lo"":"""",""km"":""Waste Collection, Treatment and Disposal"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
9X8;SUBSECTOR;Transport Supporting Activities and Travel Agencies;"{""en"":""Transport Supporting Activities and Travel Agencies"",""vi"":""Transport Supporting Activities and Travel Agencies"",""lo"":"""",""km"":""Transport Supporting Activities and Travel Agencies"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
9X9;SUBSECTOR;Gas;"{""en"":""Gas"",""vi"":""Gas"",""lo"":"""",""km"":""Gas"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
9X10;SUBSECTOR;Water, Sewerage and Drainage;"{""en"":""Water, Sewerage and Drainage"",""vi"":""Water, Sewerage and Drainage"",""lo"":"""",""km"":""Water, Sewerage and Drainage"",""mn"":""""}";CTM;10;10;;1;ncbsCbs
1A1;SUBSECTOR;Banks;"{""en"":""Banks"",""vi"":""Banks"",""lo"":"""",""km"":""Banks"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
1A2;SUBSECTOR;Financial Non Banks;"{""en"":""Financial Non Banks"",""vi"":""Financial Non Banks"",""lo"":"""",""km"":""Financial Non Banks"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
1A3;SUBSECTOR;Insurance;"{""en"":""Insurance"",""vi"":""Insurance"",""lo"":"""",""km"":""Insurance"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
1A4;SUBSECTOR;Real Estate;"{""en"":""Real Estate"",""vi"":""Real Estate"",""lo"":"""",""km"":""Real Estate"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
1A5;SUBSECTOR;Investments and Trusts;"{""en"":""Investments and Trusts"",""vi"":""Investments and Trusts"",""lo"":"""",""km"":""Investments and Trusts"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
1A6;SUBSECTOR;Brokers and Services;"{""en"":""Brokers and Services"",""vi"":""Brokers and Services"",""lo"":"""",""km"":""Brokers and Services"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
1B3;SUBSECTOR;Individual;"{""en"":""Individual"",""vi"":""Individual"",""lo"":"""",""km"":""Individual"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
MRNM;MADDR;Commune name;"{""en"":""Commune name"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;5;;MCOMMUNENM;1;ncbsCbs
MW;MADDR;Village;"{""en"":""Village"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;6;;MVILLAGE;1;ncbsCbs
MWNM;MADDR;Village name;"{""en"":""Village name"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;7;;MVILLAGENM;1;ncbsCbs
T;MADDR;Group No;"{""en"":""Group No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;8;;GROUP;1;ncbsCbs
N;UPWDDFLT;No;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""No"",""km"":""""}";ADM;2;2;;1;ncbsCbs
Y;UPWDDFLT;Yes;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Yes"",""km"":""""}";ADM;1;1;;1;ncbsCbs
T;LADDR;Group No;"{""en"":""Group No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;8;;GROUP;1;ncbsCbs
C;LADDR;Street No;"{""en"":""Street No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;9;;STREET;1;ncbsCbs
D;LADDR;House No;"{""en"":""House No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;10;;HOUSE;1;ncbsCbs
A;LADDR;Address detail;"{""en"":""Address detail"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;11;;DETAIL;1;ncbsCbs
MR;MADDR;Commune;"{""en"":""Commune"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;4;;MCOMMUNE;1;ncbsCbs
C;MADDR;Street No;"{""en"":""Street No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;9;;STREET;1;ncbsCbs
D;MADDR;House No;"{""en"":""House No"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;10;;HOUSE;1;ncbsCbs
A;MADDR;Address detail;"{""en"":""Address detail"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;11;;DETAIL;1;ncbsCbs
N;REPINFO;Name;"{""en"":""Name"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;1;1;REPINFONM;1;ncbsCbs
P;REPINFO;Phone;"{""en"":""Phone"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;3;3;REPINFOPH;1;ncbsCbs
T;REPINFO;Title;"{""en"":""Title"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;4;4;REPINFOTT;1;ncbsCbs
1C;SECTOR;Unknown;"{""en"":""Unknown"",""vi"":""Unknown"",""lo"":"""",""km"":""Unknown"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
1B1;SUBSECTOR;Bridge Finance For House Purchase;"{""en"":""Bridge Finance For House Purchase"",""vi"":""Bridge Finance For House Purchase"",""lo"":"""",""km"":""Bridge Finance For House Purchase"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
1B2;SUBSECTOR;Other House Purchase;"{""en"":""Other House Purchase"",""vi"":""Other House Purchase"",""lo"":"""",""km"":""Other House Purchase"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
1C1;SUBSECTOR;Unknown;"{""en"":""Unknown"",""vi"":""Unknown"",""lo"":"""",""km"":""Unknown"",""mn"":""""}";CTM;10;10;;1;ncbsCbs
8X5;SUBSECTOR;Medical Services;"{""en"":""Medical Services"",""vi"":""Medical Services"",""lo"":"""",""km"":""Medical Services"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
17040104;VILLAGE;Ta Kuem Kraom;"{""en"":""Ta Kuem Kraom"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;4;17040104;;1;ncbsCbs
2922003;CSTYPE;Office Façade;"{""en"":""Office Façade,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;7;2922003;;1;ncbsCbs
2922004;CSTYPE;ATM House;"{""en"":""ATM House,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;8;2922004;;1;ncbsCbs
2922005;CSTYPE;Other leasehold improvement;"{""en"":""Other leasehold improvement"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;9;2922005;;1;ncbsCbs
2931001;CSTYPE;Safe 190KG;"{""en"":""Safe 190KG,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;10;2931001;;1;ncbsCbs
2911101;CSTYPE;Cost of Renting Land depreciated over period of lease;"{""en"":""Cost of Renting Land depreciated over period of lease"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;1;2911101;;1;ncbsCbs
2912001;CSTYPE;Cost of arrangement, clearance of land;"{""en"":""Cost of arrangement, clearance of land"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;2;2912001;;1;ncbsCbs
2921001;CSTYPE;Cost of owned building;"{""en"":""Cost of owned building"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;3;2921001;;1;ncbsCbs
2921101;CSTYPE;Cost of Constructed building on lease land;"{""en"":""Cost of Constructed building on lease land"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;4;2921101;;1;ncbsCbs
2922001;CSTYPE;Office Decoration;"{""en"":""Office Decoration,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;5;2922001;;1;ncbsCbs
2931002;CSTYPE;Safe 250KG;"{""en"":""Safe 250KG,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;11;2931002;;1;ncbsCbs
2931003;CSTYPE;Table for Meeting;"{""en"":""Table for Meeting,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;12;2931003;;1;ncbsCbs
2931004;CSTYPE;Table for BM;"{""en"":""Table for BM,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;13;2931004;;1;ncbsCbs
2931005;CSTYPE;Table for Manager;"{""en"":""Table for Manager,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;14;2931005;;1;ncbsCbs
2931006;CSTYPE;Chair for Teller/Officer/CSO;"{""en"":""Chair for Teller/Officer/CSO,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;15;2931006;;1;ncbsCbs
2931007;CSTYPE;Chair for Customer Waiting;"{""en"":""Chair for Customer Waiting,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;16;2931007;;1;ncbsCbs
2931008;CSTYPE;Chair for Meeting;"{""en"":""Chair for Meeting,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;17;2931008;;1;ncbsCbs
2931009;CSTYPE;Chair for BM;"{""en"":""Chair for BM,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;18;2931009;;1;ncbsCbs
2931011;CSTYPE;Chair for Teller/Officer/CSO;"{""en"":""Chair for Teller/Officer/CSO,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;19;2931011;;1;ncbsCbs
2931012;CSTYPE;Chair for Manager;"{""en"":""Chair for Manager,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;20;2931012;;1;ncbsCbs
2931013;CSTYPE;Sofa for VIP room;"{""en"":""Sofa for VIP room,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;21;2931013;;1;ncbsCbs
2931014;CSTYPE;Painting Decoration;"{""en"":""Painting Decoration,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;22;2931014;;1;ncbsCbs
2931015;CSTYPE;Other furniture and fixtures;"{""en"":""Other furniture and fixtures"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;23;2931015;;1;ncbsCbs
2932001;CSTYPE;Copier Machine;"{""en"":""Copier Machine,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;24;2932001;;1;ncbsCbs
2922002;CSTYPE;Teller Counter;"{""en"":""Teller Counter,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;6;2922002;;1;ncbsCbs
2932002;CSTYPE;Air Conditioner;"{""en"":""Air Conditioner,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;25;2932002;;1;ncbsCbs
2932003;CSTYPE;Cash Counting Machine;"{""en"":""Cash Counting Machine,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;26;2932003;;1;ncbsCbs
2932004;CSTYPE;Anti Lightenning;"{""en"":""Anti Lightenning,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;27;2932004;;1;ncbsCbs
2932005;CSTYPE;ATM;"{""en"":""ATM,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;28;2932005;;1;ncbsCbs
2932006;CSTYPE;Standard Phone;"{""en"":""Standard Phone,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;29;2932006;;1;ncbsCbs
2932007;CSTYPE;Telephone;"{""en"":""Telephone,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;30;2932007;;1;ncbsCbs
2932008;CSTYPE;Generator;"{""en"":""Generator,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;31;2932008;;1;ncbsCbs
2932009;CSTYPE;CCTV;"{""en"":""CCTV,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;32;2932009;;1;ncbsCbs
2932010;CSTYPE;Fire detector & alarm system;"{""en"":""Fire detector & alarm system,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;33;2932010;;1;ncbsCbs
2935003;CSTYPE;Other fixed assets;"{""en"":""Other fixed assets"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;56;2935003;;1;ncbsCbs
2951001;CSTYPE;Cost of set up company;"{""en"":""Cost of set up company"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;57;2951001;;1;ncbsCbs
2951002;CSTYPE;Other formation expenses;"{""en"":""Other formation expenses"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;58;2951002;;1;ncbsCbs
2952001;CSTYPE;Core Banking System;"{""en"":""Core Banking System,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;59;2952001;;1;ncbsCbs
2952002;CSTYPE;Swtich System;"{""en"":""Swtich System,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;60;2952002;;1;ncbsCbs
2932011;CSTYPE;Security lock system;"{""en"":""Security lock system,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;34;2932011;;1;ncbsCbs
2932012;CSTYPE;Other equipment;"{""en"":""Other equipment"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;35;2932012;;1;ncbsCbs
2933001;CSTYPE;PC set (Monitor, CPU, UPS);"{""en"":""PC set (Monitor, CPU, UPS),"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;36;2933001;;1;ncbsCbs
2933002;CSTYPE;Laptop;"{""en"":""Laptop,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;37;2933002;;1;ncbsCbs
2933003;CSTYPE;Scanner;"{""en"":""Scanner,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;38;2933003;;1;ncbsCbs
2933004;CSTYPE;Printer Laser;"{""en"":""Printer Laser,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;39;2933004;;1;ncbsCbs
2933005;CSTYPE;Printer Passbook;"{""en"":""Printer Passbook,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;40;2933005;;1;ncbsCbs
2933006;CSTYPE;Printer Dotmatric;"{""en"":""Printer Dotmatric,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;41;2933006;;1;ncbsCbs
2933007;CSTYPE;Software System (with 3 years);"{""en"":""Software System (with 3 years),"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;42;2933007;;1;ncbsCbs
2933008;CSTYPE;Networks;"{""en"":""Networks,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;43;2933008;;1;ncbsCbs
2933009;CSTYPE;CISCO;"{""en"":""CISCO,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;44;2933009;;1;ncbsCbs
2933010;CSTYPE;Other computer equipment;"{""en"":""Other computer equipment"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;45;2933010;;1;ncbsCbs
2933101;CSTYPE;Main Server (HD, RM, CPU, Main Board);"{""en"":""Main Server (HD, RM, CPU, Main Board)"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;46;2933101;;1;ncbsCbs
2933102;CSTYPE;Main Storage;"{""en"":""Main Storage,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;47;2933102;;1;ncbsCbs
2952003;CSTYPE;Card System;"{""en"":""Card System,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;61;2952003;;1;ncbsCbs
2952004;CSTYPE;Other intangible assets;"{""en"":""Other intangible assets"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;62;2952004;;1;ncbsCbs
2933103;CSTYPE;Main USP;"{""en"":""Main USP,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;48;2933103;;1;ncbsCbs
2933104;CSTYPE;Server for BI;"{""en"":""Server for BI,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;49;2933104;;1;ncbsCbs
2933105;CSTYPE;Other computer equipment_main server;"{""en"":""Other computer equipment_main server"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;50;2933105;;1;ncbsCbs
2934001;CSTYPE;Car;"{""en"":""Car,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;51;2934001;;1;ncbsCbs
2934002;CSTYPE;Motorcycle;"{""en"":""Motorcycle"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;52;2934002;;1;ncbsCbs
2934003;CSTYPE;Other motor vehicles;"{""en"":""Other motor vehicles"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;53;2934003;;1;ncbsCbs
2935001;CSTYPE;Stand Light Box;"{""en"":""Stand Light Box,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;54;2935001;;1;ncbsCbs
2935002;CSTYPE;Wall attached Light Box;"{""en"":""Wall attached Light Box,"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";FAC;55;2935002;;1;ncbsCbs
A;PPREPAID;Allow;"{""en"":""Allow"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;1;1;;1;ncbsCbs
K;PPREPAID;Keep in prepaid;"{""en"":""Keep in prepaid"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;2;2;;1;ncbsCbs
N;PPREPAID;Not allow;"{""en"":""Not allow"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;3;3;;1;ncbsCbs
A;IPREPAID;Allow;"{""en"":""Allow"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;1;1;;1;ncbsCbs
K;IPREPAID;Keep in prepaid;"{""en"":""Keep in prepaid"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;2;2;;1;ncbsCbs
N;IPREPAID;Not allow;"{""en"":""Not allow"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;3;3;;1;ncbsCbs
60219;OWNER;Choun Phanndara;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Choun Phanndara"",""km"":""""}";FAC;196;0;;1;ncbsCbs
60220;OWNER;Vong Veasna;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Vong Veasna"",""km"":""""}";FAC;197;0;;1;ncbsCbs
60223;OWNER;Say Sochetra;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Say Sochetra"",""km"":""""}";FAC;199;0;;1;ncbsCbs
60224;OWNER;Oeur Sovannara;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Oeur Sovannara"",""km"":""""}";FAC;200;0;;1;ncbsCbs
60225;OWNER;Khem Kry;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Khem Kry"",""km"":""""}";FAC;201;0;;1;ncbsCbs
60226;OWNER;Phan Lavan;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Phan Lavan"",""km"":""""}";FAC;202;0;;1;ncbsCbs
60227;OWNER;La Vanna;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""La Vanna"",""km"":""""}";FAC;203;0;;1;ncbsCbs
60228;OWNER;Brak Deth;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""Brak Deth"",""km"":""""}";FAC;204;0;;1;ncbsCbs
vn;MAINLANG;Viet Nam;"{""en"":""Viet Nam"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;5;;;1;ncbsCbs
co;MAINLANG;Cambodia;"{""en"":""Cambodia"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;1;;;1;ncbsCbs
ot;MAINLANG;Others;"{""en"":""Others"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;7;;;1;ncbsCbs
ot;SUBLANG;Others;"{""en"":""Others"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;1;;;1;ncbsCbs
la;SUBLANG;Lao;"{""en"":""Lao"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;7;;;1;ncbsCbs
th;SUBLANG;Thai;"{""en"":""Thai"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;3;;;1;ncbsCbs
en;SUBLANG;English;"{""en"":""English"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;4;;;1;ncbsCbs
in;SUBLANG;Indian;"{""en"":""Indian"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;5;;;1;ncbsCbs
vn;SUBLANG;Viet Nam;"{""en"":""Viet Nam"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;6;;;1;ncbsCbs
co;SUBLANG;Cambodia;"{""en"":""Cambodia"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CTM;2;;;1;ncbsCbs
3X7;SUBSECTOR;Paper and Paper Products;"{""en"":""Paper and Paper Products"",""vi"":""Paper and Paper Products"",""lo"":"""",""km"":""Paper and Paper Products"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
1X;SECTOR;Agriculture, Forestry and Fishing;"{""en"":""Agriculture, Forestry and Fishing"",""vi"":""Agriculture, Forestry and Fishing"",""lo"":"""",""km"":""Agriculture, Forestry and Fishing"",""mn"":""""}";CTM;12;12;;1;ncbsCbs
2X;SECTOR;Mining;"{""en"":""Mining"",""vi"":""Mining"",""lo"":"""",""km"":""Mining"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
3X;SECTOR;Manufacturing;"{""en"":""Manufacturing"",""vi"":""Manufacturing"",""lo"":"""",""km"":""Manufacturing"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
4X;SECTOR;Construction;"{""en"":""Construction"",""vi"":""Construction"",""lo"":"""",""km"":""Construction"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
5X;SECTOR;Administration;"{""en"":""Administration"",""vi"":""Administration"",""lo"":"""",""km"":""Administration"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
6X;SECTOR;Trade;"{""en"":""Trade"",""vi"":""Trade"",""lo"":"""",""km"":""Trade"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
7X;SECTOR;Hospitality;"{""lo"":"""",""mn"":"""",""vi"":""Hospitality"",""en"":""Hospitality"",""km"":""Hospitality""}";CTM;7;7;;1;ncbsCbs
8X;SECTOR;Service;"{""en"":""Service"",""vi"":""Service"",""lo"":"""",""km"":""Service"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
9X;SECTOR;Transportation and Utilities;"{""en"":""Transportation and Utilities"",""vi"":""Transportation and Utilities"",""lo"":"""",""km"":""Transportation and Utilities"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
1A;SECTOR;Finance;"{""en"":""Finance"",""vi"":""Finance"",""lo"":"""",""km"":""Finance"",""mn"":""""}";CTM;10;10;;1;ncbsCbs
1B;SECTOR;Personal;"{""en"":""Personal"",""vi"":""Personal"",""lo"":"""",""km"":""Personal"",""mn"":""""}";CTM;11;11;;1;ncbsCbs
1X1;SUBSECTOR;Agriculture;"{""en"":""Agriculture"",""vi"":""Agriculture"",""lo"":"""",""km"":""Agriculture"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
1X2;SUBSECTOR;Forestry;"{""en"":""Forestry"",""vi"":""Forestry"",""lo"":"""",""km"":""Forestry"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
1X3;SUBSECTOR;Fishing;"{""en"":""Fishing"",""vi"":""Fishing"",""lo"":"""",""km"":""Fishing"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
2X1;SUBSECTOR;Oil and Gas Extraction;"{""en"":""Oil and Gas Extraction"",""vi"":""Oil and Gas Extraction"",""lo"":"""",""km"":""Oil and Gas Extraction"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
2X2;SUBSECTOR;Coal Extraction;"{""en"":""Coal Extraction"",""vi"":""Coal Extraction"",""lo"":"""",""km"":""Coal Extraction"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
2X3;SUBSECTOR;Metal Mining;"{""en"":""Metal Mining"",""vi"":""Metal Mining"",""lo"":"""",""km"":""Metal Mining"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
2X4;SUBSECTOR;Non Metallic Mining;"{""en"":""Non Metallic Mining"",""vi"":""Non Metallic Mining"",""lo"":"""",""km"":""Non Metallic Mining"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
2X5;SUBSECTOR;Other Mining;"{""en"":""Other Mining"",""vi"":""Other Mining"",""lo"":"""",""km"":""Other Mining"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
